phase,outcome,model_type,estimate,se,ci_lower,ci_upper,p_value,effect_size_type,effect_size,n_patients,n_observations,notes,significant_raw,effect_size_interpretation
1_lmm,depth,LMM,-0.033509223865714845,0.23139474296786186,-0.48703458629462704,0.4200161385631973,0.8848576411388945,cohens_d,-0.04534119384173932,32,512,,False,negligible
1_lmm,extent,LMM,0.02889729100880866,0.14640071975610494,-0.25804284702389857,0.3158374290415159,0.8435263474753165,cohens_d,0.04441507671706974,32,512,,False,negligible
1_lmm,composite,LMM,-0.004611932856903878,0.3691200486705149,-0.7280739342227849,0.7188500685089771,0.9900311719846052,cohens_d,-0.0036039234669760544,32,512,,False,negligible
2_ordinal,depth,CLMM,-0.196496211836702,,0.29988103122962234,2.25100553734884,0.702369373364783,proportional_OR,0.8216044436611576,32,512,,False,large
2_ordinal,extent,CLMM,0.0064318592393142,,0.4735930660023284,2.138854820174323,0.986657598803294,proportional_OR,1.006452588063748,32,512,,False,large
2p5_gee_ordinal,depth,GEE-Ordinal,-0.03350922386571459,0.21432671613782117,-0.4535818684205837,0.3865634206891545,0.8757599349112599,cohens_d,-0.03570006601823368,32,512,Population-averaged; exchangeable within-patient correlation,False,negligible
2p5_gee_ordinal,extent,GEE-Ordinal,0.028897291008808383,0.13309203343035084,-0.2319583011438801,0.2897528831614969,0.8281127861596642,cohens_d,0.03910690142664576,32,512,Population-averaged; exchangeable within-patient correlation,False,negligible
4_binary,depth_any,GEE,-0.35267601128355675,0.32555611747424595,-0.9907542764797698,0.2854022539126563,0.2786738280021831,OR,0.702804857338612,32,512,"RD=-0.098, NNT=10.2",False,medium
4_binary,depth_significant,GEE,-0.06741784927546779,0.4828493322267218,-1.0137851503990576,0.8789494518481221,0.8889562685330632,OR,0.9348045123297207,32,512,"RD=-0.044, NNT=22.9",False,large
4_binary,extent_any,GEE,-0.37305185069776664,0.32653357683729034,-1.0130459010418982,0.26694219964636484,0.2532624812360651,OR,0.6886295259968257,32,512,"RD=-0.099, NNT=10.1",False,medium
4_binary,extent_significant,GEE,0.2282749548964008,0.39796125918788255,-0.5517147803540586,1.0082646901468602,0.5662310680122624,OR,1.2564307397273686,32,512,"RD=0.024, NNH=41.1",False,large
